E (18326) phy_init: load_cal_data_from_nvs_handle: calibration data MAC check failed: expected 00:00:00:00:00:00, found 24:0a:c4:00:01:10
Conectando ao Wi-Fi.
Wi-Fi conectado com sucesso!
id,datetime,temperatura,umidade
1,2025-06-05 13:36:01,24.00,40.00
2,2025-06-05 13:36:03,24.00,40.00
3,2025-06-05 13:36:05,24.00,40.00
4,2025-06-05 13:36:07,24.00,40.00
5,2025-06-05 13:36:09,8.60,40.00
6,2025-06-05 13:36:11,3.50,21.50
7,2025-06-05 13:36:13,3.50,21.50
8,2025-06-05 13:36:15,3.50,21.50
9,2025-06-05 13:36:17,3.50,21.50
10,2025-06-05 13:36:19,3.50,21.50
11,2025-06-05 13:36:21,3.50,21.50
12,2025-06-05 13:36:23,3.50,21.50
13,2025-06-05 13:36:25,3.50,21.50
14,2025-06-05 13:36:27,3.50,21.50
15,2025-06-05 13:36:29,3.50,21.50
16,2025-06-05 13:36:31,3.50,21.50
17,2025-06-05 13:36:33,3.50,21.50
18,2025-06-05 13:36:35,3.50,21.50
19,2025-06-05 13:36:37,3.50,21.50
20,2025-06-05 13:36:39,3.50,21.50
21,2025-06-05 13:36:41,3.50,21.50
22,2025-06-05 13:36:43,3.50,21.50
23,2025-06-05 13:36:45,3.50,21.50
24,2025-06-05 13:36:47,3.50,21.50
25,2025-06-05 13:36:49,3.50,21.50
26,2025-06-05 13:36:51,3.50,21.50
27,2025-06-05 13:36:53,3.50,21.50
28,2025-06-05 13:36:55,3.50,21.50
29,2025-06-05 13:36:57,3.50,21.50
30,2025-06-05 13:36:59,3.50,21.50
31,2025-06-05 13:37:01,3.50,21.50
32,2025-06-05 13:37:03,3.50,21.50
33,2025-06-05 13:37:05,3.50,21.50
34,2025-06-05 13:37:07,3.50,21.50
35,2025-06-05 13:37:09,3.50,21.50
36,2025-06-05 13:37:11,3.50,21.50
37,2025-06-05 13:37:13,3.50,21.50
38,2025-06-05 13:37:15,3.50,21.50
39,2025-06-05 13:37:17,3.50,21.50
40,2025-06-05 13:37:19,3.50,21.50
41,2025-06-05 13:37:21,3.50,21.50
42,2025-06-05 13:37:23,3.50,21.50
43,2025-06-05 13:37:25,3.50,21.50
44,2025-06-05 13:37:27,3.50,21.50
45,2025-06-05 13:37:29,3.50,21.50
46,2025-06-05 13:37:31,3.50,21.50
47,2025-06-05 13:37:33,3.50,21.50
48,2025-06-05 13:37:35,3.50,21.50
49,2025-06-05 13:37:37,3.50,21.50
50,2025-06-05 13:37:39,3.50,21.50
51,2025-06-05 13:37:41,3.50,21.50
52,2025-06-05 13:37:43,3.50,21.50
53,2025-06-05 13:37:45,3.50,21.50
54,2025-06-05 13:37:47,3.50,21.50
55,2025-06-05 13:37:49,3.50,21.50
56,2025-06-05 13:37:51,3.50,21.50
57,2025-06-05 13:37:53,34.90,21.50
58,2025-06-05 13:37:55,34.90,62.50
59,2025-06-05 13:37:57,34.90,62.50
60,2025-06-05 13:37:59,34.90,62.50
61,2025-06-05 13:38:01,34.90,62.50
62,2025-06-05 13:38:03,34.90,62.50
63,2025-06-05 13:38:05,34.90,62.50
64,2025-06-05 13:38:07,34.90,62.50
65,2025-06-05 13:38:09,34.90,62.50
66,2025-06-05 13:38:11,34.90,62.50
67,2025-06-05 13:38:13,34.90,62.50
68,2025-06-05 13:38:15,34.90,62.50
69,2025-06-05 13:38:17,34.90,62.50
70,2025-06-05 13:38:19,34.90,62.50
71,2025-06-05 13:38:21,34.90,62.50
72,2025-06-05 13:38:23,34.90,62.50
73,2025-06-05 13:38:25,34.90,62.50
74,2025-06-05 13:38:27,34.90,62.50
75,2025-06-05 13:38:29,34.90,62.50
76,2025-06-05 13:38:31,13.70,62.50
77,2025-06-05 13:38:33,13.70,44.50
78,2025-06-05 13:38:35,13.70,44.50
79,2025-06-05 13:38:37,13.70,44.50
80,2025-06-05 13:38:39,13.70,44.50
81,2025-06-05 13:38:41,13.70,44.50
82,2025-06-05 13:38:43,13.70,44.50
83,2025-06-05 13:38:45,13.70,44.50
84,2025-06-05 13:38:47,13.70,44.50
85,2025-06-05 13:38:49,13.70,44.50
86,2025-06-05 13:38:51,13.70,44.50
87,2025-06-05 13:38:53,13.70,44.50
88,2025-06-05 13:38:55,13.70,44.50
89,2025-06-05 13:38:57,13.70,44.50
90,2025-06-05 13:38:59,13.70,44.50
91,2025-06-05 13:39:01,13.70,44.50
92,2025-06-05 13:39:03,13.70,44.50
93,2025-06-05 13:39:05,13.70,44.50
94,2025-06-05 13:39:07,13.70,44.50
95,2025-06-05 13:39:09,13.70,44.50
96,2025-06-05 13:39:11,13.70,44.50
97,2025-06-05 13:39:13,13.70,44.50
98,2025-06-05 13:39:15,13.70,44.50
99,2025-06-05 13:39:17,13.70,44.50
100,2025-06-05 13:39:19,13.70,44.50
101,2025-06-05 13:39:21,13.70,44.50
102,2025-06-05 13:39:23,13.70,44.50
103,2025-06-05 13:39:25,13.70,44.50
