E (26008) phy_init: load_cal_data_from_nvs_handle: calibration data MAC check failed: expected 00:00:00:00:00:00, found 24:0a:c4:00:01:10
Conectando ao Wi-Fi.
Wi-Fi conectado com sucesso!
id,datetime,temperatura,umidade
1,2025-06-05 13:50:47,17.10,19.00
2,2025-06-05 13:50:49,17.10,19.00
3,2025-06-05 13:50:51,17.10,19.00
4,2025-06-05 13:50:53,17.10,19.00
5,2025-06-05 13:50:55,17.10,19.00
6,2025-06-05 13:50:57,17.10,19.00
7,2025-06-05 13:50:59,17.10,19.00
8,2025-06-05 13:51:01,17.10,19.00
9,2025-06-05 13:51:03,17.10,19.00
10,2025-06-05 13:51:05,17.10,19.00
11,2025-06-05 13:51:07,17.10,19.00
12,2025-06-05 13:51:09,17.10,19.00
13,2025-06-05 13:51:11,17.10,19.00
14,2025-06-05 13:51:13,17.10,19.00
15,2025-06-05 13:51:15,17.10,19.00
16,2025-06-05 13:51:17,17.10,19.00
17,2025-06-05 13:51:19,17.10,19.00
18,2025-06-05 13:51:21,17.10,19.00
19,2025-06-05 13:51:23,17.10,19.00
20,2025-06-05 13:51:25,17.10,19.00
21,2025-06-05 13:51:27,17.10,19.00
22,2025-06-05 13:51:29,17.10,19.00
23,2025-06-05 13:51:31,17.10,19.00
24,2025-06-05 13:51:33,17.10,19.00
